property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
flat,eldeco accolade,sohna road,0.95,6556.0,2.0,2.0,3,8.0,Under Construction,1131.0,1.0,0.0,0.0,0.0,0.0,0.0,42.0,724.5
flat,signature global grand iva,sector 103,0.5,6250.0,2.0,2.0,2,10.0,Relatively New,698.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,400.0
flat,vatika xpressions,sector 88b,0.92,6815.0,2.0,2.0,3,3.0,New Property,1350.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,675.0
house,dlf city plots phase 2,sector 25,10.75,29861.0,9.0,9.0,3+,3.0,Old Property,3600.0,0.0,1.0,1.0,1.0,0.0,0.0,73.0,400.0
flat,tulip ivory,sector 70,2.0,8333.0,4.0,5.0,3+,7.0,Moderately Old,2169.0,0.0,1.0,0.0,0.0,0.0,1.0,174.0,600.0
flat,shree vardhman victoria,sector 70,1.8,9231.0,3.0,4.0,3,2.0,New Property,1527.0,0.0,1.0,0.0,0.0,1.0,0.0,45.0,650.0
house,vipul tatvam villa,sector 48,7.65,19125.0,4.0,4.0,3,2.0,Moderately Old,4000.0,1.0,1.0,0.0,0.0,1.0,0.0,49.0,1000.0
house,international city by sobha phase 1,sector 109,6.0,24691.0,4.0,4.0,3+,2.0,Relatively New,2430.0,1.0,1.0,1.0,1.0,0.0,0.0,160.0,607.5
house,independent,sector 25,13.0,45710.0,6.0,8.0,3+,2.0,Relatively New,2844.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,474.0
house,independent,sector 5,3.5,14787.0,5.0,4.0,2,2.0,Old Property,2367.0,0.0,0.0,0.0,1.0,1.0,0.0,36.0,473.4
flat,dlf new town heights,sector 90,1.99,7297.0,4.0,4.0,3+,9.0,Relatively New,3030.0,0.0,1.0,0.0,1.0,0.0,1.0,102.0,681.75
