property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price
1.0,54.0,5.0,4.0,2.0,0.0,1836.0,0.0,1.0,1.0,2.0,2.0,4.25
0.0,46.0,4.0,4.0,3.0,1.0,2211.0,1.0,0.0,0.0,2.0,1.0,2.08
0.0,19.0,2.0,2.0,2.0,1.0,1418.0,0.0,0.0,0.0,2.0,0.0,1.5
1.0,59.0,5.0,6.0,4.0,0.0,3240.0,0.0,0.0,0.0,2.0,2.0,12.0
0.0,97.0,3.0,3.0,3.0,3.0,1500.0,1.0,0.0,1.0,0.0,2.0,1.76
0.0,43.0,1.0,1.0,1.0,3.0,319.0,0.0,0.0,1.0,2.0,2.0,0.37
0.0,8.0,4.0,4.0,4.0,3.0,2898.0,1.0,0.0,1.0,1.0,0.0,2.65
0.0,19.0,3.0,3.0,3.0,1.0,2210.0,1.0,0.0,0.0,0.0,0.0,2.35
0.0,8.0,3.0,4.0,4.0,3.0,2018.0,1.0,0.0,1.0,2.0,2.0,1.16
0.0,83.0,2.0,2.0,1.0,1.0,930.0,0.0,0.0,1.0,2.0,0.0,0.95
